id,joke,category_human,category_llm
15,"Once upon a time there was a sperm named Stanley who lived inside a famous movie actor. Stanley was a very healthy sperm. He'd do pushups and somersaults and limber himself up all the time, while the other sperm just lay around on their fat asses not doing a thing.  One day, one of them became curious enough to ask Stanley why he exercised all day.   Stanley said,""Look, pal, only one sperm gets a woman pregnant and when the right time comes, I am going to be that one.""   A few days later, they all felt themselves getting hotter and hotter, and they knew that it was getting to be their time to go. They were released abruptly and, sure enough, there was Stanley swimming far ahead of all the others.   All of a sudden, Stanley stopped, turned around, and began to swim back with all his might.   ""Go back! Go Back!"" he screamed. ""It's a blow job!"" ",,None
16,I directed a movie about my broken leg. It had a stellar supporting cast.,,None
17,"Grandpa Goes Fishing With His Grandson (NSFW) One day, Grandpa decides to take his Grandson out on the lake to fish. About an hour in, Grandpa pulls out a cigarette and starts smoking.  The Grandson looks over, ""Hey Grandpa, that looks really cool, can I smoke a cigarette too?""  Grandpa, ""Well, can you touch your dick to your own asshole?""  Grandson, ""Uhhh, no?""  Grandpa, ""Then you're not old enough.""  So they keep fishing, and about half an hour later Grandpa pulls out a bottle of whiskey.  Grandson, ""Hey Grandpa, can I drink some whiskey too?""  Grandpa, ""Can you touch your dick to your own asshole?""  Grandson, ""No""  Grandpa, ""Then you're not old enough.""  Once it started getting dark they decided to pack up and head back home. Once they get home, both of their noses are filled with the wonderful smell of freshly baked cookies that Grandma had made. The Grandson starts chowing down on them, and the Grandpa leans over to his Grandson.  Grandpa, ""Hey Grandson, that looks pretty good. Do you mind if I have one?  Grandson, ""Can you touch your dick to your asshole?""  Grandpa, ""Actually, I can.""  Grandson, ""Then go fuck yourself, these are my cookies!""  My absolute go to joke to tell people",,Age-based
18,Doctor: How is your headach Man: She is fine.,,Gender-based
19,"Swedish Fisherman Once there were two Swedes out fishing in their dory. THen one of the Swedes remared to the other: ""Look, theres a leak in our boat!""  The other Swede replied: ""No worries, we'll just drill a new hole, and the water will flow out again"".",,Racial/Ethnic/National
20,If you kill 10 children out of a 100.. Only 90 kids will remember,,None
21,"I used to have a friend called Vince, he was great until we had an argument and we stopped being friends Now he's Vincen't",,None
22,The World Trade Centre ordered pizza They wanted pepperoni but all they got was plain,,Racial/Ethnic/National; Political/Ideological
23,What do you call a prostitute who takes cookies as payment? An Oreho.,,Class/Occupation; Gender-based
24,How do you keep bacon from curling in the pan? Take away their brooms.  ,,Gender-based
25,"An ice cream man is driving his truck on a hot summer day. He glances in his rear-view mirror, and notices a man running behind the truck. The man looks sweaty and exhausted and it's clear that he's been chasing the truck for blocks, if not longer. The driver immediately pulls over. ""I'm sorry I didn't see you!"" he says to the man when he gets to the window. ""What can I get for you?""   ""Oh, I don't want any ice cream,"" says the man, after a long pause to catch his breath. ""I just wanted to let you know that I'm vegan.""",,None
26,Donald Trump and Hillary Clinton are on a sinking ship in the middle of the ocean. Who survives? AMERICA!,,Political/Ideological
27,What do you call a pig with high aspirations in life? Hambitious,,None
28,What do you call a dog that floats in water? a good buoy,,None
29,"Your wife is sick! Angry John barged into the Cardiologist clinic and held him by his collar.  John: Did u tell my wife,she has a cute vagina?      Doctor:  U fuckin' idiot, I told her that she has  Acute Angina..!!",,Gender-based
30,"Nietzsche's girlfriend said ""honey, what's wrong?"" He replied ""nothing.""",,None
31,"Four men are in the hospital waiting room because their wives are having babies. A nurse goes up to the first guy and says, “Congratulations! You’re the father of twins.”   “That’s odd,” answers the man. “I work for the Minnesota Twins!”  A nurse says to the second guy, “Congratulations! You’re the father of triplets!”  “That’s weird,” answers the second man. “I work for the 3M company!”  A nurse tells the third man, “Congratulations! You’re the father of quadruplets!”  “That’s strange,” he answers. “I work for the Four Seasons hotel!”  The last man is groaning and banging his head against the wall. “What’s wrong?” the others ask.  “I work for 7 Up!”",,None
32,Hey did you hear about the fire at the circuis? It was in'tents',,None
33,The sea level is going to rise 7 feet by 2100.... ...I think he could play center in the NBA.,,None
34,How do you keep a baby from crawling in circles? nail the other hand to the floor.,,None
35,Why is Peter Pan always flying? Because he Neverlands ,,None
36,Why don’t skeletons play music in church? Because they got no organs.,,Religion-based
37,"Honest degree slogans Diploma: Have fun with those loans, guys...  Associates: Man, fuck this.  Bachelor's: Middle class af  Masters: d i f f e r e n t i a t i o n  Doctors: You did it for the title, doc  Postdoc: The prospect of not going to school scares you.",,Class/Occupation
38,How do you turn a duck into a soul singer? Put it in the microwave until its bill withers,,Racial/Ethnic/National
39,"A mormon was having an affair with a 15 year old girl who had lied about her age, when he learned the truth he broke it off and over the next few week guilt set in and he confessed to his wife. She screamed at him, ""How could you cheat on me like that with an older woman!?!?!?"".",,Religion-based; Age-based
40,"A scientist performed an expirement on a spider... He put the spider on a table and told it to jump, and it did. Then, he plucked off one of its legs and told it to jump, and it jumped again, but not as high as the first time. The scientist did this again and again, taking off another leg each time until all of its legs were gone. When the spider had no legs, he told it to jump. It just laid there, not jumping.  The scientist’s conclusion: Spiders without legs are deaf.",,None
41,Why do Moon Rocks taste better than Earth Rocks? Because they're a little Meteor,,None
42,A math teacher invented something. A math teacher invented the worlds first underwater bulldozer.   He called it his 'Sub-tractor.',,Class/Occupation
43,I just found out they made a heart-shaped dairy-lovers pizza Too cheesy for me though,,None
44,"how many programmer does it take to change a light bulb? 21, 1 person change it, 20 others to tell they can do better",,Class/Occupation
45,If you have a low IQ.... You can tell your wife she's fucking retarded!,,Appearance/Physical condition; Gender-based; Mental health
46,I did a self defense course I would't recommend anyone to attack me in slow motion,,None
47,Did you know you can cook a delicious meal without needing to add any oil to the pan to start? The trick is to start every meal by cooking 2 slices of bacon in the pan first.,,None
48,"[NSFW] A priest found a boy wondering the side of the road He pulled over and asked the boy ""what are you doing out here, my son? Are you alone?""  ""No"" The boy said. ""My parents crashed into a tree over there and died, I'm looking for help""  The priest nodded understandingly whilst unbuttoning his shirt. ""Today's just not your day is it.""",,Religion-based; Age-based
49,I had to watch my aunt boil my pet's offspring right in front of me. Hopefully next Easter will be more enjoyable.,,None
50,"My wife told me she was leaving me because of my obsession with pretending to be a  cashier  &#x200B;  ""Do you need any help packing your bags?"" I asked her",,None
51,What do you get when you cross Google and a porn star? Just a fucking know it all.,,None
52,They say if you've seen one connected group of stores You've seen a mall,,None
53,What do you get if you cross a Jehovah's Witness with a Gypsy Joker?? Someone who knocks on your door and tells you to fuck off,,Religion-based; Racial/Ethnic/National
54,What's the difference between golf and Lady Godiva? One is a hunt on a course.,,Gender-based
55,What do you do when you stumble upon a one-armed Polish man stuck in a tree? You wave!,,Racial/Ethnic/National; Appearance/Physical condition
56,Recently I threw a steak at someone and missed It was a terrible miss-steak,,None
57,"I don't like to waste food... So I take my leftovers, crumple them up in the paper that came with the food, and leave it outside in the open for that next hungry person who comes by. ",,None
58,I think I might be a polygamist ... ... My wife has multiple personality disorder.,,None
59,"Still, my wife doesn't shut up I told my wife: ""Let's put it in your ear.""  She replied: ""But I will become deaf, if you do that"".  I told her: ""Don't worry, I've put it in your mouth now for 20 years, and still you did not shut up.""",,Gender-based
60,"A man and a woman walk into a bar A man and a woman walk into a bar and the man turns to the woman and says, ""Hey, I've got this magic water that can make me fly.""   Then the woman says ""I don't believe you. Show me.""  So the man downs a magic water and gets on the top of the roof, jumps off, and flies back on.   The woman says ""Wow! Do that again!"" And so the man goes back downstairs to drink another magic water, gets back on the roof, jumps off, flies back on.   The woman says ""Whoa! I gotta try that for myself!"" The woman goes downstairs, asks the bar tender for some magic water, drinks it, gets on the roof, jumps off, and injures herself badly.  When the man comes back downstairs the bar tender says to him,  ""You know Superman, you're a real jerk when you're drunk.""",,None
61,What do you call the preparation for a pub quiz? The National Curriculum ,,None
62,What do you call a group of baby garbage bins? A litter...,,None
63,How would Nicolas Cage win a rap battle? By using verbal judo,,None
64,What do you call being hit by a homosexual? Fruit punch ,,Sexual orientation
65,What’s so alike about a zit and a priest? Waiting till 12 to come on your face.,,Religion-based; Age-based
66,When do you known that Chinese Americans are moving into the neighborhood? All the Mexicans are buying auto insurance .,,Racial/Ethnic/National
67,"A man goes to the doctor for a checkup... After the checkup the man then proceeds to go home. A couple days pass when the man looks at his phone to see the doctor calling. ""hello."" the man says as he picks up the phone. The doctor greets him back and proceeds to say to the man ""Well I have some good news and bad news for you."" The man beginning to become worried ask for the good news first. The doctor says ""well you have two days left to live"" The man outraged at the doctor says ""what the HELL doctor, how is that good news, isnt that  supposed to be bad news."" The doctor with a troubling sound in his voice says ""No, the bad news is I've been trying to call you since yesterday"".",,Class/Occupation
68,How do gay nerds say goodbye on friday? Have a nice geekend!   ,,Sexual orientation
69,"Hey Jesus, what’s your favorite curse word? Jesus replies: evangelism.",,Religion-based
70,I beat my wife at dominoes last night... She really needs to remember that **I** choose the toppings.,,Gender-based
71,What does a rubix cube and a pp have in common The more you play with it the harder it gets,,None
72,Where does Kanye West like to go with his son? North West,,Racial/Ethnic/National
73,"I'd like to die like my grandpa, in my sleep. Not screaming and yelling, like the people in his car.",,Age-based
74,"When the police asked me what i did for a living, I said I make money. The reason i was being interrogated was for selling counterfeit bills",,None
75,"Damn, girl. Are you from Tennessee? Because you look inbred",,Racial/Ethnic/National
76,If Kim Jong Un was a girl... Send nukes,,Political/Ideological; Gender-based
77,"I told my wife she shops too much, but she wouldn't listen. She's so damn clothes-minded ",,Gender-based
78,Why Hitler was late to work? He accidently didn't took the second left but the third Reich.,,Racial/Ethnic/National; Political/Ideological
79,What did the guy say when he realized the milk was curdled? NO WHEY!,,None
80,What type of Asians do the most shopping? Shop-anese,,Racial/Ethnic/National
81,"When they finally convinced me I didn't need to lose any more weight, . . . . . . it was *reductio ad absurdum.*",,None
82,If Mexicans who illegally immigrate to the US are called wetbacks Would Americans who illegally immigrate to Canada be called frostbacks? ,,Racial/Ethnic/National
83,What do you call the smartest person in the US? A tourist?,,None
84,"Russell Crowe & Sheryl Crow walk into a bar... Russell Crowe & Sheryl Crow walk into a bar. The bartender calls 911, ""I need to report an attempted murder!""",,None
85,"What begins with S, ends with X and will change your life? Smallpox",,None
86,"I started a summer camp for children with ADD to help with their studies but it's not doing so well... It's called ""Concentration Camp""",,Racial/Ethnic/National; Mental health
87,Life is like a box of chocolates It doesn't last very long for fat people.,,Appearance/Physical condition
88,What's the difference between a mosquito and a blonde? A mosquito stops sucking when you smack it.,,Gender-based
89,"A guy walks into a bar carrying 3 ducks...... He has one duck in his left hand, one in his right hand and one under his left arm. The bar is very empty and he is the only patron. He sits down sets his ducks on the bar and has a few drinks. The bartender doesn't say anything because he would rather a weird customer with ducks than no customers at all. After a few drinks the patron gets up to use the restroom and leaves the ducks with the bartender.  An awkward silence fills the room and the bartender decides to break it up with some small talk. He turns to the first duck and asks him  ""Whats your name duck? How was your day?  The first duck replies: ""My name is Luey and my day was freaking amazing! It was the best day ever! I was in and out of Puddles all freaking day and it was great. Id do it every day for the rest of my existence if I could!""  The bartender nods his head and thinks to himself, damn that does sound like a good day for a duck. He then turns to the second duck and repeats the question: ""Hey whats your name and how was your day?""  The second duck exclaims ""My name is Huey and my day was also freaking amazing. I was in and out of Puddles all freaking day and Id do it a million times over if I could!""  At this point the bartender is pretty bored speaking with the ducks and is pretty confident he knows what the third duck did. So he turns to the third duck and states ""Soo let me guess your name is Stuey and you had a great day in and out of puddles as well?""  The third duck looks straight at the bartender with a disgusted face and says   ""NO my name is Puddles and don't ask me how my fucking day went!!!!""  - Poor Puddles",,None
90,"Once, I met a pirate with a peg leg, a hook hand, and an eye patch I asked him ""What happened to your leg?""  ""Arr,"" he responded, ""One day I was in a battle at sea and a cannon ball blew my leg right off. I cut the throat of the man who fired the shot though.""  ""That sounds awful. What happened to your hand?""  ""Arr, one day at sea I was knocked off the ship into shark infested waters and a great white bit my hand right off. I stabbed him with a harpoon after that though.  ""That sounds terrible. What happened to your eye?""  ""Arr, one day I was near port and a ton of seagulls were flying overhead. When I looked up into the sky, one of them pooped and it landed right in my eye.""  ""That's...really gross. But why would you lose your eye from that?""  ""Arr, it was the first day with the hook.""",,Appearance/Physical condition
91,1 + 1 = 3 If you don't use a condom,,None
92,What do Donald Trump and the iPhone 7 have in common? They both think de-porting is the answer when there's no more Jobs.,,Political/Ideological; Racial/Ethnic/National
93,What do you get if you cross a cocker-spaniel with a poodle and a rooster? A Cockerpoodledoo!,,None
94,Things single friends say A girlfriend is basically a hooker on retainer,,Gender-based; Class/Occupation
95,I'm suffering because my girlfriend isn't here Usually the mosquitoes bite her instead.,,None
96,"Bill Clinton: ""I sure hope Hillary gets better interns than I did..."" ""All of mine sucked""",,Political/Ideological; Class/Occupation
97,"OH NO NO NO NO # Paddy McCoy, an elderly Irish farmer, recently received a letter from the Department for Work & Pensions stating that they suspected he was not paying his employees the statutory minimum wage and they would send an inspector to interview them.  # On the appointed day, the inspector turned up. ""Tell me about your staff,"" he asked Paddy.  # ""Well,"" said Paddy, ""there's the farm hand, I pay him £240 a week, and he has a free cottage.  # Then there's the housekeeper. She gets £190 a week, along with free board and lodging.  # There's also the half-wit. He works a 16 hour day, does 90% of the work, earns about £25 a week along with a bottle of whisky and, as a special treat, occasionally gets to sleep with my wife.""  # ""That's disgraceful"" said the inspector, ""I need to interview the half-wit.""  # ""That'll be me then,"" said Paddy.",,Racial/Ethnic/National; Class/Occupation
98,"At work I spend too much time with regular expressions! At work I'm spending so much time with regular expressions that they are starting to invade my personal life!  Last night, I was biking home and pedestrians kept entering the bike lane without looking. It was so ridiculous! So I thought ""I know how to fix this; I'll use regular expressions!""  So I flipped them the bird. Then I shouted ""Hey losers, get outta the way!""  Now I have two problems.  P.S. Hun, please bring the medical card on your way to the hospital!",,None
99,Would you go to the moon? Yes of course! I wouldn't... I heard the last the guy that went there died.,,None
100,What do you call an African-American California Highway Patrol Officer? A Chocolate CHiP.,,Racial/Ethnic/National
